Program,Task_ID,Task_Name
DORADO,need jira,Reduce redundant zones test of VBAR_ATI
DORADO,?,"Project to remove UACT1 ""milli"" actuator"
DORADO,?,T285 DRCM opti
DORADO,?,T299 RAP Saving (4)
DORADO,need jira,Update BPI/TPI FMT via PC file
DORADO,need jira,CRT2 Tripple Track BER monitor
DORADO,need Jira,Remove CAL2 SF3_DPCO data collection state
DORADO,need Jira,T33 calls/
DORADO,need jira,Write Opti - Read Reduction: 2 reads to 1 at CAL2
DORADO,need jira,FNC2 RRO_SCRN_x removal
DORADO,need jira,TTR: Remove PRE2 prm_282_hiResVCMBodeTemp
DORADO,need jira,TTR: CERT portion Powercycle
DORADO,need jira,T299: Disable Track Center Search
DORADO,need jira,Write Process Restructuring: Fix to VBAR Laser Setup
DORADO,need jira,Test Time: T297 Data Trimming at PRE2
DORADO,need jira,Test Time: T297 Data Trimming at CAL2
DORADO,need jira,Erasure Testing - Fast Write Modes (T298/T299)
DORADO,need jira,TTR: To close TT gap (vs Marlin) - BER measurement
DORADO,need jira,T282 sensitivity projection optimization - data & test time reduction
DORADO,need jira,MarlinBP remove state (est. 43 hrs)
DORADO,need jira,SPFS T2108 Read TTR by increasing CertTrkStep (SkInc) to 75 from default 30
DORADO,need jira,T461 AC Erase Support
DORADO,need jira,FNC2 T150 Linearization monitor (1.2)
DORADO,need jira,T461 similar to marlin JIRA1036
DORADO,need jira,PC file compression 
DORADO,Dorado -1289,OEE SPSC2 + PWT  
